type,L1,L2,L3,L4,manufacturer_group,tax_type
その他,自転車_点検,メンテナンスパック,シティーサイクル（6ヶ月点検12ヶ月点検）,,,
その他,自転車_点検,メンテナンスパック,電動アシスト自転車（6ヶ月点検12ヶ月点検）,,,
その他,自転車_点検,メンテナンスパック,スポーツサイクル（6ヶ月点検12ヶ月点検）,,,
その他,自転車_点検,メンテナンスパック,メンテナンスパック更新加入,,,
その他,自転車_点検,メンテナンスパック,メンテナンスパック途中加入,,,
その他,自転車_点検,メンテナンスパック,その他,,,
その他,自転車_点検,メンテナンスパック（継続）,初回点検（納車後1ヶ月）,,,
その他,自転車_点検,メンテナンスパック（継続）,シティーサイクル（6ヶ月点検12ヶ月点検）,,,
その他,自転車_点検,メンテナンスパック（継続）,電動アシスト自転車（6ヶ月点検12ヶ月点検）,,,
その他,自転車_点検,メンテナンスパック（継続）,スポーツサイクル（6ヶ月点検12ヶ月点検）,,,
その他,自転車_点検,メンテナンスパック（継続）,シティーサイクル（6ヶ月点検12ヶ月点検）,,,
その他,自転車_点検,メンテナンスパック（継続）,電動アシスト自転車（6ヶ月点検12ヶ月点検）,,,
その他,自転車_点検,メンテナンスパック（継続）,スポーツサイクル（6ヶ月点検12ヶ月点検）,,,
その他,自転車_点検,メンテナンスパック（継続）,メンテナンスパック更新加入,,,
その他,自転車_点検,メンテナンスパック（継続）,メンテナンスパック途中加入,,,
その他,自転車_点検,メンテナンスパック（継続）,その他,,,
その他,自転車_オーバーホール,ライトプラン,,,,
その他,自転車_オーバーホール,フルプラン,,,,
その他,自転車_オーバーホール,リフレッシュプラン,,,,
その他,自転車_オーバーホール,その他,,,,
その他,自転車修理 (シティサイクル),パンク,水調べ,,,
その他,自転車修理 (シティサイクル),パンク,パッチ修理,,,
その他,自転車修理 (シティサイクル),パンク,虫ゴム交換,,,
その他,自転車修理 (シティサイクル),タイヤチューブ,前輪,,,
その他,自転車修理 (シティサイクル),タイヤチューブ,後輪,,,
その他,自転車修理 (シティサイクル),振れ取り,車輪脱着不要,,,
その他,自転車修理 (シティサイクル),振れ取り,前輪脱着有り,,,
その他,自転車修理 (シティサイクル),振れ取り,後輪脱着有り,,,
その他,自転車修理 (シティサイクル),スポーク ニップル交換,スポーク交換・車輪脱着不要,,,
その他,自転車修理 (シティサイクル),スポーク ニップル交換,スポーク交換・車輪脱着（前輪）,,,
